time_position,attention_importance
0,0.0076008863
1,0.0077260924
2,0.008005356
3,0.008144655
4,0.00815132
5,0.008093513
6,0.008247554
7,0.008387715
8,0.008398243
9,0.008241078
10,0.007846678
11,0.007909081
12,0.007982538
13,0.008284331
14,0.008017953
15,0.0077763335
16,0.0076516657
17,0.007423143
18,0.007285531
19,0.0072179893
20,0.007101217
21,0.007050111
22,0.0070180274
23,0.006947701
24,0.0070610326
25,0.007009611
26,0.007045556
27,0.0070452024
28,0.007099375
29,0.0069269426
30,0.006801596
31,0.006710979
32,0.0066874013
33,0.006773405
34,0.0067188507
35,0.0068566264
36,0.0070093516
37,0.0071418765
38,0.0072466168
39,0.0071691647
40,0.0070994888
41,0.0070936787
42,0.007094233
43,0.0071509914
44,0.007329202
45,0.007362667
46,0.007451223
47,0.0075373165
48,0.0075574163
49,0.00759546
50,0.007584434
51,0.0073950253
52,0.007168039
53,0.007050751
54,0.0069030495
55,0.0068696938
56,0.0068865353
57,0.0069666514
58,0.007050927
59,0.0071094693
60,0.0072817486
61,0.0073567783
62,0.0075017824
63,0.007650431
64,0.007746902
65,0.007816901
66,0.007853267
67,0.0077311588
68,0.007708749
69,0.00773655
70,0.007746077
71,0.007502995
72,0.0074198856
73,0.0072269137
74,0.007101017
75,0.007091564
76,0.0070295637
77,0.0070764706
78,0.007032842
79,0.0071675633
80,0.0073009455
81,0.0073881284
82,0.0076194587
83,0.0076828916
84,0.00760213
85,0.007402732
86,0.0074243983
87,0.0073676696
88,0.007279623
89,0.007399889
90,0.007553564
91,0.007638816
92,0.007739595
93,0.007728607
94,0.007729371
95,0.007791801
96,0.007951614
97,0.007831509
98,0.007831191
99,0.0077186325
100,0.0076506636
101,0.007743882
102,0.007782554
103,0.007801747
104,0.0077377027
105,0.0077805463
106,0.007839592
107,0.007855152
108,0.007950915
109,0.007894951
110,0.0077371043
111,0.0077101737
112,0.0077350033
113,0.007885369
114,0.007878028
115,0.007948605
116,0.007719153
117,0.007714314
118,0.00782353
119,0.008078178
120,0.008129628
121,0.008167548
122,0.008270215
123,0.0083512915
124,0.008855929
125,0.010596114
126,0.017482208
127,0.031049622
