metric,Kalman_only,AI_assisted
Mean offset (Hz),0.0002515195172167944,0.00018207168549769963
STD (Hz),0.00036305020420007104,0.0002698452445119604
RMS (Hz),0.000441664486132497,0.0003255250445752107
Maximum absolute offset (Hz),0.0017365898214854122,0.0013326765364780897
