time,true_detuning,measured_offset,estimated_offset,servo_correction,corrected_offset
8480.0,-0.0002767480980127011,-0.00043471489361526783,-0.00041256501963655426,-1.916403362617045e-05,-0.00025758406438653066
8481.0,-0.00025666212272921585,-0.0004031639178632418,-0.00040675481920895024,-1.895487456863204e-05,-0.0002377072481605838
8482.0,-0.000282572216271446,-0.00044386339704133304,-0.0004296891815835337,-2.018753052367792e-05,-0.0002623846857477681
8483.0,-0.00017778730345794684,-0.00027926764264121773,-0.0003367235578771165,-1.560659404993248e-05,-0.00016218070940801437
8484.0,-0.00017457685086993846,-0.000274224675540502,-0.0002980971243342083,-1.3734891797653913e-05,-0.00016084195907228454
8485.0,4.723763116663504e-05,7.420069751240543e-05,-6.800441649544784e-05,-2.24385728901498e-06,4.9481488455650015e-05
8486.0,-1.5101383799127492e-05,-2.372119820071017e-05,-4.0635882458068797e-05,-8.835577636376414e-07,-1.4217826035489851e-05
8487.0,0.0001142300213152251,0.00017943209773774171,9.537360913848086e-05,5.935991538017539e-06,0.00010829402977720756
8488.0,0.00019834841304589067,0.0003115649578319668,0.00022898721070473537,1.2662469058471211e-05,0.00018568594398741945
8489.0,0.00025145615499380105,0.0003949864029707817,0.0003315803536301807,1.7858442275469514e-05,0.00023359771271833153
8490.0,0.0003303109844657738,0.0005188512773737775,0.0004473201496083132,2.3734896104297804e-05,0.00030657608836147604
8491.0,0.00033132728284871447,0.0005204476751065334,0.0004925154458793879,2.6093164007027413e-05,0.0003052341188416871
8492.0,0.0004544240133316387,0.0007138075612500572,0.0006292814946208245,3.305732274302341e-05,0.00042136669058861527
8493.0,0.0002387299121393931,0.00037499606767868454,0.00047212445792680377,2.5293895799907732e-05,0.00021343601633948536
8494.0,0.0003111551179379158,0.000488761313206798,0.0004824065999557534,2.5904484221346364e-05,0.0002852506337165694
8495.0,0.0002960728238658762,0.0004650701015095071,0.00047169205467006346,2.546309536799588e-05,0.00027060972849788034
8496.0,0.00029365619751803323,0.0004612740737847121,0.0004652533883887696,2.5234212731608942e-05,0.0002684219847864243
8497.0,0.00019577116088601265,0.0003075166196365997,0.00036776670402434626,2.0388335201217317e-05,0.00017538282568479533
