rank,feature,baseline_rmse,permuted_rmse,importance,relative_importance_percent,normalized_importance_percent
1,excitation_probability_minus,0.0001033930093399249,0.0002689114189706743,0.00016551840963074937,160.08665449186702,30.507820333275546
2,measured_offset,0.0001033930093399249,0.0002121637953678146,0.0001087707860278897,105.20129622137632,20.048281064631162
3,estimated_offset,0.0001033930093399249,0.00019940308993682265,9.601008059689775e-05,92.85935404128308,17.696268926023514
4,excitation_probability_plus,0.0001033930093399249,0.0001830495020840317,7.96564927441068e-05,77.04243570493279,14.682028267655697
5,pressure,0.0001033930093399249,0.00016483207582496107,6.143906648503616e-05,59.422843843381244,11.324250915358244
6,magnetic,0.0001033930093399249,0.00011077406088588759,7.381051545962691e-06,7.138830364919575,1.3604516557235122
7,white,0.0001033930093399249,0.00011027485015802085,6.881840818095952e-06,6.6560020469764485,1.2684387417027816
8,zeeman,0.0001033930093399249,0.00011013432958861813,6.741320248693228e-06,6.520092888030571,1.2425384427932429
9,flicker,0.0001033930093399249,0.00010708752233767882,3.694512997753918e-06,3.5732715599828206,0.6809607402939223
10,total_noise,0.0001033930093399249,0.00010643260611686856,3.039596776943654e-06,2.93984747745409,0.5602486911484504
11,laser_phase,0.0001033930093399249,0.00010468233813298866,1.2893287930637598e-06,1.2470173769919368,0.2376449318058259
12,servo_correction,0.0001033930093399249,0.0001041985087795183,8.054994395934045e-07,0.7790656686905847,0.14846706318947409
13,laser_power,0.0001033930093399249,0.00010381339234299958,4.203830030746758e-07,0.4065874528253489,0.07748364159355997
14,temperature,0.0001033930093399249,0.00010375426063546911,3.612512955442071e-07,0.3493962482091243,0.06658467565156123
15,temperature_shift,0.0001033930093399249,0.0001036656103678979,2.7260102797299623e-07,0.26365518298898394,0.05024494376558696
16,random_walk,0.0001033930093399249,0.00010351766104577109,1.2465170584619045e-07,0.12056105789161567,0.02297540107276026
17,blackbody,0.0001033930093399249,0.0001035035093082115,1.1049996828660369e-07,0.10687373255895208,0.020366998371002223
18,humidity,0.0001033930093399249,0.0001034168599289842,2.385058905929327e-08,0.023067893285589315,0.0043960637821916955
19,aging,0.0001033930093399249,0.0001033959852065891,2.975866664201021e-09,0.002878208771752907,0.0005485021619635154
20,qpn,0.0001033930093399249,0.00010336705599911511,-2.595334080979228e-08,-0.025101639826021073,0.0
