tau_seconds,allan_deviation_hz
1.0,7.932100357354842e-05
2.0,0.00010929481099492616
3.0,0.00014088256877219544
5.0,0.0001968876438801737
6.0,0.00022222061267391347
8.0,0.00026141612586400514
11.0,0.00029886393709355896
14.0,0.0003154575716392203
19.0,0.0002933463364347579
25.0,0.0002726288146705621
33.0,0.0002081398900103292
43.0,0.00018806211296220577
57.0,0.00019821563872733042
74.0,0.00019896745339298815
98.0,0.00020030366038189404
128.0,0.00019590765326531223
168.0,0.00018441664695005206
220.0,0.0001850966548046766
288.0,0.00016301115688711069
378.0,0.00014065522619548942
495.0,0.00014177048981083227
648.0,0.00010190278141844532
849.0,9.780982581545672e-05
1112.0,8.165890033111879e-05
1457.0,0.00011408492908145448
1908.0,8.825756482998051e-05
2499.0,0.00011937242222877474
