seed,kalman_rms,ai_rms,rms_improvement_percent,std_improvement_percent,max_improvement_percent,ai_prediction_count,max_ai_correction
123,0.001083615554609472,0.0007562640138915692,30.209195440709436,29.852192636531516,28.855319812995173,9873,7.052443106658757e-05
456,0.0005174068476816405,0.0003798094707071814,26.593652092351604,24.81880686164615,23.486968848031086,9873,4.7031603753566745e-05
789,0.0007445492017309633,0.0005118625697779865,31.252015503074325,31.35709008937928,29.839740651440327,9873,6.56676827929914e-05
1000,0.0012929307061057748,0.0009808612740785266,24.136593751971567,23.206448918419152,22.429781884878754,9873,6.589532713405788e-05
