horizon_steps,horizon_seconds,MAE,RMSE,MSE,samples
1,1,8.463809657934008e-05,0.00010631348711246141,1.1302557542011497e-08,1000
5,5,0.00015044007658970032,0.00019752044100436572,3.9014324614559115e-08,5000
10,10,0.00021851431308183466,0.0002910518687791836,8.47111903198551e-08,10000
30,30,0.00035090297401369527,0.00045576707875802055,2.0772363007961972e-07,30000
60,60,0.00038551584447348925,0.0004923933372861374,2.424511986037799e-07,60000
