target,prediction,raw_uncertainty,calibrated_uncertainty,raw_lower_95,raw_upper_95,calibrated_lower,calibrated_upper,absolute_error,raw_inside_interval,calibrated_inside_interval
0.00021609514,0.00024083605,4.7056732e-05,0.00022835497,0.00014860486,0.00033306723,1.2481076e-05,0.000469191,2.4740904e-05,True,True
4.522337e-05,0.00023409432,4.5290166e-05,0.00021978226,0.00014532558,0.00032286305,1.4312056e-05,0.00045387656,0.00018887095,False,True
6.7540816e-05,6.682023e-05,5.3509037e-05,0.00025966644,-3.8057486e-05,0.00017169793,-0.00019284622,0.00032648665,7.20589e-07,True,True
-6.065538e-06,8.448569e-05,4.253796e-05,0.00020642646,1.1112934e-06,0.0001678601,-0.000121940764,0.00029091214,9.055123e-05,False,True
0.00013361887,1.5136931e-05,3.3561282e-05,0.00016286482,-5.0643182e-05,8.0917045e-05,-0.00014772789,0.00017800175,0.00011848194,False,True
7.067124e-05,0.00012479174,6.3225125e-05,0.00030681628,8.7049557e-07,0.00024871298,-0.00018202454,0.000431608,5.41205e-05,True,True
-1.0277641e-05,7.0283124e-05,5.2640116e-05,0.0002554498,-3.2891505e-05,0.00017345775,-0.00018516666,0.00032573292,8.056076e-05,True,True
4.4488304e-05,-1.5387324e-05,3.429611e-05,0.00016643075,-8.26077e-05,5.183305e-05,-0.00018181808,0.00015104342,5.987563e-05,True,True
0.00013228493,2.587257e-06,3.7577858e-05,0.00018235628,-7.106535e-05,7.623986e-05,-0.00017976902,0.00018494354,0.00012969767,False,True
0.00031132574,0.000106447034,4.3856115e-05,0.00021282316,2.0489046e-05,0.00019240502,-0.00010637612,0.00031927018,0.00020487871,False,True
0.00033324806,0.00023094304,6.555332e-05,0.00031811447,0.00010245852,0.00035942756,-8.717143e-05,0.0005490575,0.00010230501,True,True
0.00020358902,0.00024021113,4.2779808e-05,0.0002076001,0.0001563627,0.00032405957,3.261103e-05,0.0004478112,3.6622107e-05,True,True
0.00016797538,9.863815e-05,5.1562256e-05,0.0002502192,-2.4238761e-06,0.00019970018,-0.00015158104,0.00034885734,6.933723e-05,True,True
3.8329053e-05,3.8347214e-05,3.1963074e-05,0.0001551091,-2.430041e-05,0.00010099484,-0.00011676188,0.0001934563,1.816079e-08,True,True
-5.761051e-05,-7.162152e-05,3.596371e-05,0.0001745232,-0.0001421104,-1.1326483e-06,-0.00024614471,0.00010290168,1.4011013e-05,True,True
-0.00013041808,-0.0001470198,2.8378576e-05,0.00013771439,-0.00020264182,-9.139779e-05,-0.00028473418,-9.305411e-06,1.6601727e-05,True,True
-0.00031345332,-0.00022810258,3.320699e-05,0.00016114552,-0.0002931883,-0.00016301687,-0.0003892481,-6.695706e-05,8.535074e-05,False,True
-0.00034946162,-0.0004116142,5.1935443e-05,0.00025203018,-0.00051340763,-0.00030982072,-0.0006636444,-0.00015958401,6.215257e-05,True,True
